game,resolution,settings,gpu,cpu,avg_fps,p1_low,p0_1_low,source,notes
Counter-Strike 2,3840x2160,Ultra,RTX 5090,Intel Core i9-14900K,551.7,453.4,403.1,Local Benchmark Cache,"GPU: 65%, CPU: 85%, RAM: 72%"
Counter-Strike 2,3840x2160,Ultra,RTX 5080,Intel Core i9-14900K,495.9,405.5,354.4,Local Benchmark Cache,"GPU: 76%, CPU: 88%, RAM: 72%"
Counter-Strike 2,3840x2160,Ultra,RTX 4090,Intel Core i9-14900K,537.5,422.1,368.2,Local Benchmark Cache,"GPU: 65%, CPU: 86%, RAM: 76%"
Counter-Strike 2,3840x2160,Ultra,RX 7900 XTX,Intel Core i9-14900K,500.5,396.0,336.9,Local Benchmark Cache,"GPU: 72%, CPU: 88%, RAM: 78%"
Counter-Strike 2,3840x2160,Ultra,RTX 5080,Ryzen 9 9950X,481.9,392.4,342.4,Local Benchmark Cache,"GPU: 65%, CPU: 85%, RAM: 80%"
Halo Infinite,3840x2160,Ultra,RTX 5090,Intel Core i9-14900K,65.3,52.3,45.8,Predicted Model,"GPU: 96%, CPU: 36%, RAM: 76%"
Halo Infinite,3840x2160,Ultra,RTX 5080,Intel Core i9-14900K,59.6,48.3,42.7,Predicted Model,"GPU: 98%, CPU: 40%, RAM: 73%"
Halo Infinite,3840x2160,Ultra,RTX 4090,Intel Core i9-14900K,60.5,54.8,47.4,Predicted Model,"GPU: 94%, CPU: 34%, RAM: 71%"
Halo Infinite,3840x2160,Ultra,RX 7900 XTX,Intel Core i9-14900K,58.1,46.0,41.2,Predicted Model,"GPU: 98%, CPU: 33%, RAM: 82%"
Halo Infinite,3840x2160,Ultra,RTX 5080,Ryzen 9 9950X,64.3,52.1,46.1,Local Benchmark Cache (GPU-base),"GPU: 96%, CPU: 34%, RAM: 76% | GPU: 98%, CPU: 40%, RAM: 73% | CPU adjusted: Ryzen 9 9950X"
Apex Legends,3840x2160,Ultra,RTX 5090,Intel Core i9-14900K,77.2,70.1,61.2,Local Benchmark Cache,"GPU: 97%, CPU: 35%, RAM: 78%"
Apex Legends,3840x2160,Ultra,RTX 5080,Intel Core i9-14900K,73.3,66.4,61.1,Local Benchmark Cache,"GPU: 99%, CPU: 36%, RAM: 82%"
Apex Legends,3840x2160,Ultra,RTX 4090,Intel Core i9-14900K,76.2,63.2,56.3,Local Benchmark Cache,"GPU: 98%, CPU: 34%, RAM: 76%"
Apex Legends,3840x2160,Ultra,RX 7900 XTX,Intel Core i9-14900K,72.1,56.5,53.1,Local Benchmark Cache,"GPU: 93%, CPU: 40%, RAM: 81%"
Apex Legends,3840x2160,Ultra,RTX 5080,Ryzen 9 9950X,72.7,57.1,49.9,Local Benchmark Cache,"GPU: 98%, CPU: 34%, RAM: 76%"
Rust,3840x2160,Ultra,RTX 5090,Intel Core i9-14900K,61.5,53.3,51.2,Predicted Model,"GPU: 98%, CPU: 32%, RAM: 82%"
Rust,3840x2160,Ultra,RTX 5080,Intel Core i9-14900K,56.5,51.6,44.0,Predicted Model,"GPU: 94%, CPU: 33%, RAM: 72%"
Rust,3840x2160,Ultra,RTX 4090,Intel Core i9-14900K,62.3,51.3,47.5,Predicted Model,"GPU: 92%, CPU: 37%, RAM: 79%"
Rust,3840x2160,Ultra,RX 7900 XTX,Intel Core i9-14900K,54.3,45.9,40.8,Predicted Model,"GPU: 94%, CPU: 36%, RAM: 73%"
Rust,3840x2160,Ultra,RTX 5080,Ryzen 9 9950X,61.4,56.1,47.8,Local Benchmark Cache (GPU-base),"GPU: 96%, CPU: 40%, RAM: 74% | GPU: 94%, CPU: 33%, RAM: 72% | CPU adjusted: Ryzen 9 9950X"
